Date Downloaded,County,Demographic,Number with at least one dose,At Least One Dose (%),Completed Series (#),Completed Series (%),Number of adults with at least one dose,% adults w/at least one dose,Adults (18+) who completed the series,% adults completed series,Population,Adult (18+) Population
2021/11/20,Jefferson County,0-11,1,0.0%,1,0.0%,0,,0,,"10,997",0
2021/11/20,Jefferson County,12-15,"1,895",43.2%,"1,784",40.6%,0,,0,,"4,391",0
2021/11/20,Jefferson County,16-17,"1,056",46.9%,990,43.9%,0,,0,,"2,253",0
2021/11/20,Jefferson County,18-24,"3,400",44.6%,"3,137",41.2%,"3,400",44.6%,"3,137",41.2%,"7,618","7,618"
2021/11/20,Jefferson County,25-34,"4,898",49.6%,"4,552",46.1%,"4,898",49.6%,"4,552",46.1%,"9,868","9,868"
2021/11/20,Jefferson County,35-44,"6,256",58.5%,"5,918",55.3%,"6,256",58.5%,"5,918",55.3%,"10,696","10,696"
2021/11/20,Jefferson County,45-54,"6,798",59.6%,"6,483",56.8%,"6,798",59.6%,"6,483",56.8%,"11,407","11,407"
2021/11/20,Jefferson County,55-64,"8,507",67.7%,"8,235",65.5%,"8,507",67.7%,"8,235",65.5%,"12,564","12,564"
2021/11/20,Jefferson County,65+,"11,983",80.0%,"11,618",77.6%,"11,983",80.0%,"11,618",77.6%,"14,975","14,975"
2021/11/20,Juneau County,0-11,0,0.0%,0,0.0%,0,,0,,"3,414",0
2021/11/20,Juneau County,12-15,460,35.7%,418,32.4%,0,,0,,"1,290",0
2021/11/20,Juneau County,16-17,228,36.4%,214,34.2%,0,,0,,626,0
2021/11/20,Juneau County,18-24,785,45.2%,710,40.9%,785,45.2%,710,40.9%,"1,736","1,736"
2021/11/20,Juneau County,25-34,"1,102",36.3%,996,32.8%,"1,102",36.3%,996,32.8%,"3,037","3,037"
2021/11/20,Juneau County,35-44,"1,413",45.1%,"1,311",41.8%,"1,413",45.1%,"1,311",41.8%,"3,135","3,135"
2021/11/20,Juneau County,45-54,"1,774",49.2%,"1,680",46.6%,"1,774",49.2%,"1,680",46.6%,"3,607","3,607"
2021/11/20,Juneau County,55-64,"2,797",65.4%,"2,709",63.3%,"2,797",65.4%,"2,709",63.3%,"4,278","4,278"
2021/11/20,Juneau County,65+,"4,390",78.9%,"4,264",76.6%,"4,390",78.9%,"4,264",76.6%,"5,564","5,564"
2021/11/20,Kenosha County,0-11,4,0.0%,3,0.0%,0,,0,,"24,311",0
2021/11/20,Kenosha County,12-15,"3,908",43.3%,"3,622",40.2%,0,,0,,"9,015",0
2021/11/20,Kenosha County,16-17,"2,242",47.9%,"2,104",45.0%,0,,0,,"4,677",0
2021/11/20,Kenosha County,18-24,"8,304",50.6%,"7,565",46.1%,"8,304",50.6%,"7,565",46.1%,"16,411","16,411"
2021/11/20,Kenosha County,25-34,"11,459",51.8%,"10,467",47.3%,"11,459",51.8%,"10,467",47.3%,"22,137","22,137"
2021/11/20,Kenosha County,35-44,"12,223",57.6%,"11,394",53.7%,"12,223",57.6%,"11,394",53.7%,"21,218","21,218"
2021/11/20,Kenosha County,45-54,"13,652",59.6%,"12,807",55.9%,"13,652",59.6%,"12,807",55.9%,"22,914","22,914"
2021/11/20,Kenosha County,55-64,"17,270",71.4%,"16,386",67.8%,"17,270",71.4%,"16,386",67.8%,"24,172","24,172"
2021/11/20,Kenosha County,65+,"20,846",84.4%,"19,889",80.5%,"20,846",84.4%,"19,889",80.5%,"24,706","24,706"
2021/11/20,Kewaunee County,0-11,0,0.0%,0,0.0%,0,,0,,"2,778",0
2021/11/20,Kewaunee County,12-15,345,33.0%,328,31.4%,0,,0,,"1,045",0
2021/11/20,Kewaunee County,16-17,192,33.9%,183,32.3%,0,,0,,567,0
2021/11/20,Kewaunee County,18-24,633,43.7%,583,40.2%,633,43.7%,583,40.2%,"1,450","1,450"
2021/11/20,Kewaunee County,25-34,808,37.4%,766,35.5%,808,37.4%,766,35.5%,"2,159","2,159"
2021/11/20,Kewaunee County,35-44,"1,221",50.8%,"1,159",48.3%,"1,221",50.8%,"1,159",48.3%,"2,402","2,402"
2021/11/20,Kewaunee County,45-54,"1,336",51.6%,"1,282",49.6%,"1,336",51.6%,"1,282",49.6%,"2,587","2,587"
2021/11/20,Kewaunee County,55-64,"2,077",65.5%,"2,024",63.8%,"2,077",65.5%,"2,024",63.8%,"3,170","3,170"
2021/11/20,Kewaunee County,65+,"3,308",77.4%,"3,233",75.6%,"3,308",77.4%,"3,233",75.6%,"4,276","4,276"
2021/11/20,La Crosse County,0-11,4,0.0%,2,0.0%,0,,0,,"14,973",0
2021/11/20,La Crosse County,12-15,"3,775",68.1%,"3,561",64.2%,0,,0,,"5,546",0
2021/11/20,La Crosse County,16-17,"1,955",74.8%,"1,866",71.4%,0,,0,,"2,615",0
2021/11/20,La Crosse County,18-24,"8,572",46.2%,"7,988",43.0%,"8,572",46.2%,"7,988",43.0%,"18,561","18,561"
2021/11/20,La Crosse County,25-34,"10,369",67.6%,"9,751",63.6%,"10,369",67.6%,"9,751",63.6%,"15,328","15,328"
2021/11/20,La Crosse County,35-44,"10,344",77.3%,"9,890",73.9%,"10,344",77.3%,"9,890",73.9%,"13,384","13,384"
2021/11/20,La Crosse County,45-54,"9,888",77.4%,"9,568",74.9%,"9,888",77.4%,"9,568",74.9%,"12,777","12,777"
2021/11/20,La Crosse County,55-64,"12,188",81.8%,"11,829",79.4%,"12,188",81.8%,"11,829",79.4%,"14,898","14,898"
2021/11/20,La Crosse County,65+,"18,329",91.9%,"17,761",89.1%,"18,329",91.9%,"17,761",89.1%,"19,934","19,934"
2021/11/20,Lafayette County,0-11,1,0.0%,0,0.0%,0,,0,,"2,566",0
2021/11/20,Lafayette County,12-15,396,41.3%,366,38.2%,0,,0,,959,0
2021/11/20,Lafayette County,16-17,220,47.7%,200,43.4%,0,,0,,461,0
2021/11/20,Lafayette County,18-24,590,45.8%,551,42.8%,590,45.8%,551,42.8%,"1,288","1,288"
2021/11/20,Lafayette County,25-34,855,48.1%,798,44.9%,855,48.1%,798,44.9%,"1,776","1,776"
2021/11/20,Lafayette County,35-44,"1,088",60.1%,"1,043",57.6%,"1,088",60.1%,"1,043",57.6%,"1,810","1,810"
2021/11/20,Lafayette County,45-54,"1,152",58.4%,"1,107",56.1%,"1,152",58.4%,"1,107",56.1%,"1,974","1,974"
2021/11/20,Lafayette County,55-64,"1,849",71.1%,"1,799",69.1%,"1,849",71.1%,"1,799",69.1%,"2,602","2,602"
2021/11/20,Lafayette County,65+,"2,814",87.1%,"2,743",84.9%,"2,814",87.1%,"2,743",84.9%,"3,229","3,229"
2021/11/20,Langlade County,0-11,0,0.0%,0,0.0%,0,,0,,"2,366",0
2021/11/20,Langlade County,12-15,244,27.8%,230,26.2%,0,,0,,879,0
2021/11/20,Langlade County,16-17,146,29.4%,131,26.4%,0,,0,,496,0
2021/11/20,Langlade County,18-24,540,42.3%,499,39.1%,540,42.3%,499,39.1%,"1,276","1,276"
2021/11/20,Langlade County,25-34,717,40.3%,663,37.3%,717,40.3%,663,37.3%,"1,779","1,779"
2021/11/20,Langlade County,35-44,902,45.5%,842,42.5%,902,45.5%,842,42.5%,"1,981","1,981"
2021/11/20,Langlade County,45-54,"1,156",50.8%,"1,095",48.1%,"1,156",50.8%,"1,095",48.1%,"2,277","2,277"
2021/11/20,Langlade County,55-64,"2,172",64.0%,"2,082",61.3%,"2,172",64.0%,"2,082",61.3%,"3,396","3,396"
2021/11/20,Langlade County,65+,"3,825",80.7%,"3,702",78.1%,"3,825",80.7%,"3,702",78.1%,"4,739","4,739"
2021/11/20,Lincoln County,0-11,0,0.0%,0,0.0%,0,,0,,"3,133",0
2021/11/20,Lincoln County,12-15,391,32.6%,362,30.1%,0,,0,,"1,201",0
2021/11/20,Lincoln County,16-17,207,30.1%,196,28.5%,0,,0,,688,0
2021/11/20,Lincoln County,18-24,710,37.8%,659,35.1%,710,37.8%,659,35.1%,"1,879","1,879"
2021/11/20,Lincoln County,25-34,"1,023",38.4%,940,35.3%,"1,023",38.4%,940,35.3%,"2,663","2,663"
2021/11/20,Lincoln County,35-44,"1,415",45.7%,"1,334",43.1%,"1,415",45.7%,"1,334",43.1%,"3,096","3,096"
2021/11/20,Lincoln County,45-54,"1,907",49.8%,"1,829",47.8%,"1,907",49.8%,"1,829",47.8%,"3,829","3,829"
2021/11/20,Lincoln County,55-64,"3,330",66.8%,"3,235",64.9%,"3,330",66.8%,"3,235",64.9%,"4,986","4,986"
2021/11/20,Lincoln County,65+,"5,362",87.6%,"5,218",85.3%,"5,362",87.6%,"5,218",85.3%,"6,118","6,118"
2021/11/20,Manitowoc County,0-11,0,0.0%,0,0.0%,0,,0,,"10,235",0
2021/11/20,Manitowoc County,12-15,"1,462",37.4%,"1,366",34.9%,0,,0,,"3,910",0
2021/11/20,Manitowoc County,16-17,887,44.3%,835,41.7%,0,,0,,"2,001",0
2021/11/20,Manitowoc County,18-24,"2,838",49.6%,"2,647",46.3%,"2,838",49.6%,"2,647",46.3%,"5,723","5,723"
2021/11/20,Manitowoc County,25-34,"4,200",50.4%,"3,919",47.0%,"4,200",50.4%,"3,919",47.0%,"8,336","8,336"
2021/11/20,Manitowoc County,35-44,"4,929",54.7%,"4,641",51.5%,"4,929",54.7%,"4,641",51.5%,"9,016","9,016"
2021/11/20,Manitowoc County,45-54,"5,982",59.1%,"5,718",56.5%,"5,982",59.1%,"5,718",56.5%,"10,126","10,126"
2021/11/20,Manitowoc County,55-64,"9,277",71.6%,"8,975",69.3%,"9,277",71.6%,"8,975",69.3%,"12,954","12,954"
2021/11/20,Manitowoc County,65+,"14,551",87.2%,"14,029",84.1%,"14,551",87.2%,"14,029",84.1%,"16,680","16,680"
2021/11/20,Marathon County,0-11,1,0.0%,1,0.0%,0,,0,,"19,916",0
2021/11/20,Marathon County,12-15,"3,072",42.3%,"2,891",39.8%,0,,0,,"7,263",0
2021/11/20,Marathon County,16-17,"1,720",48.5%,"1,623",45.8%,0,,0,,"3,545",0
2021/11/20,Marathon County,18-24,"5,281",51.7%,"4,875",47.7%,"5,281",51.7%,"4,875",47.7%,"10,215","10,215"
2021/11/20,Marathon County,25-34,"8,623",52.7%,"8,004",48.9%,"8,623",52.7%,"8,004",48.9%,"16,365","16,365"
2021/11/20,Marathon County,35-44,"9,931",59.2%,"9,383",56.0%,"9,931",59.2%,"9,383",56.0%,"16,770","16,770"
2021/11/20,Marathon County,45-54,"10,525",61.1%,"10,082",58.5%,"10,525",61.1%,"10,082",58.5%,"17,236","17,236"
2021/11/20,Marathon County,55-64,"13,643",69.3%,"13,153",66.8%,"13,643",69.3%,"13,153",66.8%,"19,700","19,700"
2021/11/20,Marathon County,65+,"20,391",82.6%,"19,759",80.1%,"20,391",82.6%,"19,759",80.1%,"24,682","24,682"
2021/11/20,Marinette County,0-11,0,0.0%,0,0.0%,0,,0,,"4,812",0
2021/11/20,Marinette County,12-15,475,25.2%,427,22.6%,0,,0,,"1,888",0
2021/11/20,Marinette County,16-17,291,31.9%,268,29.4%,0,,0,,913,0
2021/11/20,Marinette County,18-24,"1,063",42.0%,950,37.5%,"1,063",42.0%,950,37.5%,"2,533","2,533"
2021/11/20,Marinette County,25-34,"1,517",38.0%,"1,382",34.6%,"1,517",38.0%,"1,382",34.6%,"3,996","3,996"
2021/11/20,Marinette County,35-44,"1,907",44.7%,"1,751",41.0%,"1,907",44.7%,"1,751",41.0%,"4,269","4,269"
2021/11/20,Marinette County,45-54,"2,304",47.5%,"2,186",45.1%,"2,304",47.5%,"2,186",45.1%,"4,851","4,851"
2021/11/20,Marinette County,55-64,"4,518",62.8%,"4,348",60.4%,"4,518",62.8%,"4,348",60.4%,"7,194","7,194"
2021/11/20,Marinette County,65+,"7,825",79.1%,"7,599",76.8%,"7,825",79.1%,"7,599",76.8%,"9,894","9,894"
2021/11/20,Marquette County,0-11,0,0.0%,0,0.0%,0,,0,,"1,945",0
2021/11/20,Marquette County,12-15,242,33.8%,226,31.6%,0,,0,,716,0
2021/11/20,Marquette County,16-17,112,33.3%,101,30.1%,0,,0,,336,0
2021/11/20,Marquette County,18-24,383,42.4%,347,38.4%,383,42.4%,347,38.4%,903,903
2021/11/20,Marquette County,25-34,563,39.7%,539,38.0%,563,39.7%,539,38.0%,"1,418","1,418"
2021/11/20,Marquette County,35-44,737,47.1%,697,44.6%,737,47.1%,697,44.6%,"1,564","1,564"
2021/11/20,Marquette County,45-54,904,46.9%,863,44.8%,904,46.9%,863,44.8%,"1,927","1,927"
2021/11/20,Marquette County,55-64,"1,774",62.1%,"1,713",59.9%,"1,774",62.1%,"1,713",59.9%,"2,858","2,858"
2021/11/20,Marquette County,65+,"3,053",78.1%,"2,951",75.5%,"3,053",78.1%,"2,951",75.5%,"3,907","3,907"
2021/11/20,Menominee County,0-11,1,0.1%,0,0.0%,0,,0,,"1,039",0
2021/11/20,Menominee County,12-15,316,100.3%,292,92.7%,0,,0,,315,0
2021/11/20,Menominee County,16-17,121,75.2%,118,73.3%,0,,0,,161,0
2021/11/20,Menominee County,18-24,316,77.6%,297,73.0%,316,77.6%,297,73.0%,407,407
2021/11/20,Menominee County,25-34,464,86.4%,449,83.6%,464,86.4%,449,83.6%,537,537
2021/11/20,Menominee County,35-44,423,106.8%,406,102.5%,423,106.8%,406,102.5%,396,396
2021/11/20,Menominee County,45-54,423,90.4%,416,88.9%,423,90.4%,416,88.9%,468,468
2021/11/20,Menominee County,55-64,543,91.1%,538,90.3%,543,91.1%,538,90.3%,596,596
2021/11/20,Menominee County,65+,623,97.8%,608,95.4%,623,97.8%,608,95.4%,637,637
2021/11/20,Milwaukee County,0-11,62,0.0%,24,0.0%,0,,0,,"152,542",0
2021/11/20,Milwaukee County,12-15,"25,800",52.4%,"23,542",47.8%,0,,0,,"49,240",0
2021/11/20,Milwaukee County,16-17,"13,373",56.6%,"12,255",51.8%,0,,0,,"23,639",0
2021/11/20,Milwaukee County,18-24,"54,305",60.8%,"49,079",55.0%,"54,305",60.8%,"49,079",55.0%,"89,300","89,300"
2021/11/20,Milwaukee County,25-34,"93,648",60.3%,"85,500",55.0%,"93,648",60.3%,"85,500",55.0%,"155,382","155,382"
2021/11/20,Milwaukee County,35-44,"86,169",70.5%,"79,843",65.3%,"86,169",70.5%,"79,843",65.3%,"122,180","122,180"
2021/11/20,Milwaukee County,45-54,"78,849",73.3%,"73,736",68.5%,"78,849",73.3%,"73,736",68.5%,"107,612","107,612"
2021/11/20,Milwaukee County,55-64,"86,842",76.5%,"82,205",72.4%,"86,842",76.5%,"82,205",72.4%,"113,541","113,541"
2021/11/20,Milwaukee County,65+,"109,388",82.7%,"103,951",78.6%,"109,388",82.7%,"103,951",78.6%,"132,290","132,290"
2021/11/20,Monroe County,0-11,1,0.0%,1,0.0%,0,,0,,"7,701",0
2021/11/20,Monroe County,12-15,"1,040",38.5%,944,35.0%,0,,0,,"2,700",0
2021/11/20,Monroe County,16-17,543,42.8%,511,40.3%,0,,0,,"1,269",0
2021/11/20,Monroe County,18-24,"1,540",47.5%,"1,402",43.3%,"1,540",47.5%,"1,402",43.3%,"3,240","3,240"
2021/11/20,Monroe County,25-34,"2,306",43.4%,"2,081",39.1%,"2,306",43.4%,"2,081",39.1%,"5,317","5,317"
2021/11/20,Monroe County,35-44,"3,005",52.1%,"2,800",48.5%,"3,005",52.1%,"2,800",48.5%,"5,768","5,768"
2021/11/20,Monroe County,45-54,"2,902",52.7%,"2,715",49.3%,"2,902",52.7%,"2,715",49.3%,"5,504","5,504"
2021/11/20,Monroe County,55-64,"4,213",63.3%,"4,049",60.8%,"4,213",63.3%,"4,049",60.8%,"6,656","6,656"
2021/11/20,Monroe County,65+,"6,422",79.3%,"6,260",77.3%,"6,422",79.3%,"6,260",77.3%,"8,098","8,098"
2021/11/20,Oconto County,0-11,0,0.0%,0,0.0%,0,,0,,"4,855",0
2021/11/20,Oconto County,12-15,578,31.0%,547,29.4%,0,,0,,"1,863",0
2021/11/20,Oconto County,16-17,324,35.6%,308,33.8%,0,,0,,910,0
2021/11/20,Oconto County,18-24,928,39.0%,862,36.2%,928,39.0%,862,36.2%,"2,378","2,378"
2021/11/20,Oconto County,25-34,"1,397",36.5%,"1,301",34.0%,"1,397",36.5%,"1,301",34.0%,"3,828","3,828"
2021/11/20,Oconto County,35-44,"1,982",45.9%,"1,903",44.1%,"1,982",45.9%,"1,903",44.1%,"4,314","4,314"
2021/11/20,Oconto County,45-54,"2,602",50.6%,"2,496",48.6%,"2,602",50.6%,"2,496",48.6%,"5,140","5,140"
2021/11/20,Oconto County,55-64,"4,421",65.7%,"4,293",63.8%,"4,421",65.7%,"4,293",63.8%,"6,726","6,726"
2021/11/20,Oconto County,65+,"6,697",84.6%,"6,488",82.0%,"6,697",84.6%,"6,488",82.0%,"7,916","7,916"
2021/11/20,Oneida County,0-11,0,0.0%,0,0.0%,0,,0,,"3,968",0
2021/11/20,Oneida County,12-15,568,40.0%,519,36.5%,0,,0,,"1,420",0
2021/11/20,Oneida County,16-17,347,51.0%,328,48.2%,0,,0,,681,0
2021/11/20,Oneida County,18-24,"1,035",49.9%,953,45.9%,"1,035",49.9%,953,45.9%,"2,076","2,076"
2021/11/20,Oneida County,25-34,"1,635",47.9%,"1,525",44.7%,"1,635",47.9%,"1,525",44.7%,"3,411","3,411"
2021/11/20,Oneida County,35-44,"2,046",57.9%,"1,928",54.6%,"2,046",57.9%,"1,928",54.6%,"3,532","3,532"
2021/11/20,Oneida County,45-54,"2,576",60.2%,"2,493",58.2%,"2,576",60.2%,"2,493",58.2%,"4,280","4,280"
2021/11/20,Oneida County,55-64,"5,060",75.2%,"4,851",72.1%,"5,060",75.2%,"4,851",72.1%,"6,729","6,729"
2021/11/20,Oneida County,65+,"8,851",93.2%,"8,484",89.3%,"8,851",93.2%,"8,484",89.3%,"9,498","9,498"
2021/11/20,Outagamie County,0-11,2,0.0%,1,0.0%,0,,0,,"28,667",0
2021/11/20,Outagamie County,12-15,"5,199",51.6%,"4,895",48.6%,0,,0,,"10,074",0
2021/11/20,Outagamie County,16-17,"2,900",57.1%,"2,748",54.1%,0,,0,,"5,082",0
2021/11/20,Outagamie County,18-24,"9,384",60.0%,"8,701",55.7%,"9,384",60.0%,"8,701",55.7%,"15,628","15,628"
2021/11/20,Outagamie County,25-34,"14,639",58.3%,"13,743",54.7%,"14,639",58.3%,"13,743",54.7%,"25,124","25,124"
2021/11/20,Outagamie County,35-44,"16,413",66.4%,"15,630",63.3%,"16,413",66.4%,"15,630",63.3%,"24,708","24,708"
2021/11/20,Outagamie County,45-54,"16,054",66.9%,"15,354",64.0%,"16,054",66.9%,"15,354",64.0%,"23,989","23,989"
2021/11/20,Outagamie County,55-64,"19,968",76.9%,"19,235",74.1%,"19,968",76.9%,"19,235",74.1%,"25,951","25,951"
2021/11/20,Outagamie County,65+,"25,988",90.7%,"25,122",87.6%,"25,988",90.7%,"25,122",87.6%,"28,662","28,662"
2021/11/20,Ozaukee County,0-11,8,0.1%,5,0.0%,0,,0,,"11,992",0
2021/11/20,Ozaukee County,12-15,"2,826",62.3%,"2,670",58.9%,0,,0,,"4,536",0
2021/11/20,Ozaukee County,16-17,"1,609",66.4%,"1,534",63.3%,0,,0,,"2,422",0
2021/11/20,Ozaukee County,18-24,"4,339",56.4%,"4,019",52.3%,"4,339",56.4%,"4,019",52.3%,"7,687","7,687"
2021/11/20,Ozaukee County,25-34,"5,718",65.7%,"5,380",61.8%,"5,718",65.7%,"5,380",61.8%,"8,699","8,699"
2021/11/20,Ozaukee County,35-44,"7,566",72.7%,"7,159",68.8%,"7,566",72.7%,"7,159",68.8%,"10,408","10,408"
2021/11/20,Ozaukee County,45-54,"8,357",71.8%,"7,975",68.6%,"8,357",71.8%,"7,975",68.6%,"11,633","11,633"
2021/11/20,Ozaukee County,55-64,"11,041",80.7%,"10,565",77.2%,"11,041",80.7%,"10,565",77.2%,"13,679","13,679"
2021/11/20,Ozaukee County,65+,"16,880",92.9%,"15,888",87.5%,"16,880",92.9%,"15,888",87.5%,"18,165","18,165"
2021/11/20,Pepin County,0-11,1,0.1%,1,0.1%,0,,0,,"1,003",0
2021/11/20,Pepin County,12-15,150,39.2%,141,36.8%,0,,0,,383,0
2021/11/20,Pepin County,16-17,78,58.6%,76,57.1%,0,,0,,133,0
2021/11/20,Pepin County,18-24,184,38.1%,172,35.6%,184,38.1%,172,35.6%,483,483
2021/11/20,Pepin County,25-34,276,38.4%,264,36.7%,276,38.4%,264,36.7%,719,719
2021/11/20,Pepin County,35-44,373,48.1%,365,47.0%,373,48.1%,365,47.0%,776,776
2021/11/20,Pepin County,45-54,443,49.8%,427,48.0%,443,49.8%,427,48.0%,889,889
2021/11/20,Pepin County,55-64,750,63.2%,735,61.9%,750,63.2%,735,61.9%,"1,187","1,187"
2021/11/20,Pepin County,65+,"1,363",79.5%,"1,334",77.8%,"1,363",79.5%,"1,334",77.8%,"1,714","1,714"
2021/11/20,Pierce County,0-11,1,0.0%,1,0.0%,0,,0,,"5,536",0
2021/11/20,Pierce County,12-15,846,37.3%,796,35.1%,0,,0,,"2,271",0
2021/11/20,Pierce County,16-17,487,48.4%,471,46.8%,0,,0,,"1,006",0
2021/11/20,Pierce County,18-24,"1,962",29.0%,"1,832",27.1%,"1,962",29.0%,"1,832",27.1%,"6,768","6,768"
2021/11/20,Pierce County,25-34,"2,379",51.5%,"2,197",47.6%,"2,379",51.5%,"2,197",47.6%,"4,616","4,616"
2021/11/20,Pierce County,35-44,"2,780",56.5%,"2,638",53.6%,"2,780",56.5%,"2,638",53.6%,"4,920","4,920"
2021/11/20,Pierce County,45-54,"3,195",61.4%,"3,079",59.2%,"3,195",61.4%,"3,079",59.2%,"5,202","5,202"
2021/11/20,Pierce County,55-64,"4,400",74.4%,"4,274",72.3%,"4,400",74.4%,"4,274",72.3%,"5,912","5,912"
2021/11/20,Pierce County,65+,"5,884",90.2%,"5,716",87.6%,"5,884",90.2%,"5,716",87.6%,"6,523","6,523"
2021/11/20,Polk County,0-11,1,0.0%,1,0.0%,0,,0,,"5,591",0
2021/11/20,Polk County,12-15,721,31.3%,658,28.6%,0,,0,,"2,300",0
2021/11/20,Polk County,16-17,430,38.4%,398,35.5%,0,,0,,"1,121",0
2021/11/20,Polk County,18-24,"1,294",44.5%,"1,185",40.7%,"1,294",44.5%,"1,185",40.7%,"2,909","2,909"
2021/11/20,Polk County,25-34,"1,748",40.4%,"1,600",37.0%,"1,748",40.4%,"1,600",37.0%,"4,323","4,323"
2021/11/20,Polk County,35-44,"2,421",48.2%,"2,287",45.5%,"2,421",48.2%,"2,287",45.5%,"5,021","5,021"
2021/11/20,Polk County,45-54,"3,119",54.6%,"2,962",51.9%,"3,119",54.6%,"2,962",51.9%,"5,710","5,710"
2021/11/20,Polk County,55-64,"5,068",67.8%,"4,886",65.4%,"5,068",67.8%,"4,886",65.4%,"7,474","7,474"
2021/11/20,Polk County,65+,"8,351",89.5%,"8,019",85.9%,"8,351",89.5%,"8,019",85.9%,"9,334","9,334"
2021/11/20,Portage County,0-11,1,0.0%,1,0.0%,0,,0,,"8,665",0
2021/11/20,Portage County,12-15,"1,569",48.9%,"1,477",46.0%,0,,0,,"3,210",0
2021/11/20,Portage County,16-17,848,53.6%,808,51.0%,0,,0,,"1,583",0
2021/11/20,Portage County,18-24,"3,630",32.1%,"3,375",29.8%,"3,630",32.1%,"3,375",29.8%,"11,308","11,308"
2021/11/20,Portage County,25-34,"4,695",55.7%,"4,420",52.4%,"4,695",55.7%,"4,420",52.4%,"8,430","8,430"
2021/11/20,Portage County,35-44,"5,233",66.7%,"4,943",63.0%,"5,233",66.7%,"4,943",63.0%,"7,849","7,849"
2021/11/20,Portage County,45-54,"5,015",62.8%,"4,783",59.9%,"5,015",62.8%,"4,783",59.9%,"7,989","7,989"
2021/11/20,Portage County,55-64,"7,186",75.8%,"6,925",73.1%,"7,186",75.8%,"6,925",73.1%,"9,476","9,476"
2021/11/20,Portage County,65+,"10,558",86.1%,"10,067",82.1%,"10,558",86.1%,"10,067",82.1%,"12,262","12,262"
2021/11/20,Price County,0-11,0,0.0%,0,0.0%,0,,0,,"1,469",0
2021/11/20,Price County,12-15,199,33.6%,183,30.9%,0,,0,,593,0
2021/11/20,Price County,16-17,119,35.6%,112,33.5%,0,,0,,334,0
2021/11/20,Price County,18-24,324,40.1%,296,36.6%,324,40.1%,296,36.6%,808,808
2021/11/20,Price County,25-34,456,43.6%,428,40.9%,456,43.6%,428,40.9%,"1,047","1,047"
2021/11/20,Price County,35-44,638,47.9%,601,45.1%,638,47.9%,601,45.1%,"1,332","1,332"
2021/11/20,Price County,45-54,879,51.8%,841,49.6%,879,51.8%,841,49.6%,"1,697","1,697"
2021/11/20,Price County,55-64,"1,682",66.3%,"1,628",64.1%,"1,682",66.3%,"1,628",64.1%,"2,538","2,538"
2021/11/20,Price County,65+,"2,968",84.0%,"2,893",81.9%,"2,968",84.0%,"2,893",81.9%,"3,533","3,533"
2021/11/20,Racine County,0-11,5,0.0%,3,0.0%,0,,0,,"29,318",0
2021/11/20,Racine County,12-15,"4,363",42.3%,"4,007",38.9%,0,,0,,"10,303",0
2021/11/20,Racine County,16-17,"2,416",45.8%,"2,239",42.4%,0,,0,,"5,279",0
2021/11/20,Racine County,18-24,"8,494",52.2%,"7,710",47.4%,"8,494",52.2%,"7,710",47.4%,"16,281","16,281"
2021/11/20,Racine County,25-34,"12,526",53.0%,"11,453",48.4%,"12,526",53.0%,"11,453",48.4%,"23,647","23,647"
2021/11/20,Racine County,35-44,"14,742",62.0%,"13,737",57.8%,"14,742",62.0%,"13,737",57.8%,"23,773","23,773"
2021/11/20,Racine County,45-54,"16,476",65.1%,"15,573",61.5%,"16,476",65.1%,"15,573",61.5%,"25,324","25,324"
2021/11/20,Racine County,55-64,"21,683",75.4%,"20,716",72.1%,"21,683",75.4%,"20,716",72.1%,"28,744","28,744"
2021/11/20,Racine County,65+,"29,199",86.8%,"27,859",82.8%,"29,199",86.8%,"27,859",82.8%,"33,642","33,642"
2021/11/20,Richland County,0-11,3,0.1%,0,0.0%,0,,0,,"2,321",0
2021/11/20,Richland County,12-15,433,44.1%,399,40.6%,0,,0,,982,0
2021/11/20,Richland County,16-17,255,58.5%,242,55.5%,0,,0,,436,0
2021/11/20,Richland County,18-24,600,49.6%,554,45.8%,600,49.6%,554,45.8%,"1,209","1,209"
2021/11/20,Richland County,25-34,847,51.1%,780,47.1%,847,51.1%,780,47.1%,"1,656","1,656"
2021/11/20,Richland County,35-44,"1,066",58.0%,"1,020",55.5%,"1,066",58.0%,"1,020",55.5%,"1,838","1,838"
2021/11/20,Richland County,45-54,"1,227",58.8%,"1,172",56.2%,"1,227",58.8%,"1,172",56.2%,"2,085","2,085"
2021/11/20,Richland County,55-64,"1,903",71.5%,"1,850",69.5%,"1,903",71.5%,"1,850",69.5%,"2,661","2,661"
2021/11/20,Richland County,65+,"3,330",81.9%,"3,257",80.1%,"3,330",81.9%,"3,257",80.1%,"4,064","4,064"
2021/11/20,Rock County,0-11,4,0.0%,2,0.0%,0,,0,,"24,095",0
2021/11/20,Rock County,12-15,"4,367",49.0%,"4,081",45.8%,0,,0,,"8,906",0
2021/11/20,Rock County,16-17,"2,303",52.3%,"2,160",49.1%,0,,0,,"4,401",0
2021/11/20,Rock County,18-24,"7,789",56.3%,"7,145",51.7%,"7,789",56.3%,"7,145",51.7%,"13,826","13,826"
2021/11/20,Rock County,25-34,"11,229",55.9%,"10,335",51.4%,"11,229",55.9%,"10,335",51.4%,"20,103","20,103"
2021/11/20,Rock County,35-44,"12,909",64.0%,"12,032",59.6%,"12,909",64.0%,"12,032",59.6%,"20,181","20,181"
